tag_id,tags,frequency
1376,classical can be destructive,23
1377,autocantantes,23
1378,contemporary r&b,23
1379,i would like to spend an afternoon rubbing her breasts with warm mineral oil,23
1380,calypso,23
1381,Post Bop,23
1382,music i tried but didnt like,23
1383,trump,23
1384,solo country acts,23
1385,traditional folk,23
1386,17,23
1387,Progressive Electronic,23
1388,Conscious Hip Hop,23
1389,pink,23
1390,sleaze,23
1391,favouritestreamableartists,23
1392,Boogie Rock,23
1393,DIsco House,23
1394,real shit,23
1395,brilliant,23
1396,Blues Stay Away Music,23
1397,jazz vocalists,23
1398,Bands I have seen live,23
1399,blue eyed soul,23
1400,Friday,23
1401,post-dubstep,23
1402,proto punk,23
1403,rhythm-blues,23
1404,to listen to,23
1405,alternative pop-rock,22
1406,west coast hip hop,22
1407,funk metal,22
1408,p-funk,22
1409,trio,22
1410,november,22
1411,treble,22
1412,Tenoxsax Radio Mix,22
1413,rock brasileiro,22
1414,harp,22
1415,elektro,22
1416,Club Music,22
1417,mainstream,22
1418,crossover thrash,22
1419,swiss,22
1420,dark folk,22
1421,apocalyptic folk,22
1422,pagan metal,22
1423,Forro,22
1424,Talented Ladies,22
1425,movie,22
1426,dance punk,22
1427,bossa,22
1428,Skitz0rz,22
1429,bitch,22
1430,neo classical,22
1431,PostClassical,22
1432,Space Ambient,22
1433,p,22
1434,q,22
1435,ragtime,22
1436,Classic-rock,22
1437,punk pop,22
1438,Psychedelic Soul,22
1439,finnish metal,22
1440,queercore,22
1441,15,22
1442,14,22
1443,ruk,22
1444,trash metal,22
1445,anarcho-punk,22
1446,BANDA,22
1447,brit rock,22
1448,Britrock,22
1449,oldschool rap,22
1450,american rock,22
1451,raw black metal,22
1452,duet,22
